title,id,price,condition,availability,channel,feed label,language,additional image link,all clicks,brand,description,image link,link,rating average,rating count,shipping(country),new_title,meta_description,image_alt
Sam Adams Just The Haze,5febb13263676419b2a976e2,11.99 USD,new,out of stock,Online,US,en,,0,Samuel Adams,"Samuel Adams Just The Haze NA is a non-alcoholic beer that offers a full-bodied, hoppy flavor without the buzz. This 6-pack of 12oz cans captures all the classic notes of a hazy IPA, perfect for enjoying any time without the alcohol.",https://cityhive-production-cdn.cityhive.net/products/636168b880f51c1f3f3ede3c/large.png?format=square,https://legacywineandliquor.com/shop/product/sam-adams-just-the-haze/5febb13263676419b2a976e2?option-id=29761de92bb505fd8942490923037215da3ac375cf6495b1b3d606e5c3047708,5.0,3.0,US,Sam Adams Just The Haze Non-Alcoholic IPA 6-Pack,"Discover Sam Adams Just The Haze NA Beer. Enjoy full-bodied, hoppy flavor without the alcohol. Shop now for a refreshing experience!",Sam Adams Just The Haze Non-Alcoholic IPA 6-Pack Cans
Don Ramon Silver Tequila W Tequiponch Gift Set,5b6db9718f587645dac90586,29.99 USD,new,in stock,Online,US,en,,0,,"Get Don Ramon Silver Tequila W Tequiponch Gift Set from Legacy Wine and Liquor, Sanford, FL for $29.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/don-ramon-silver-tequila-w-tequiponch-gift-set/5b6db9718f587645dac90586?option-id=382f780fca48c3a2b9f7c1b634f1b3e742050c1e918afa9eb946c3cee7c9bd92,,,US,Don Ramon Silver Tequila Gift Set with Tequiponch,Discover Don Ramon Silver Tequila Gift Set at Legacy Wine & Liquor. Buy now for $29.99!,Don Ramon Silver Tequila with Tequiponch Gift Set
Penelope Architect Straight Bourbon Whiskey,621e6dbfc6f9480bde6cac09,56.99 USD,new,in stock,Online,US,en,"https://cityhive-prod-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/65d02da0a7939f2bf1b8d930/large.png?format=square",0,Penelope Bourbon,"Get Penelope Architect Straight Bourbon Whiskey from Legacy Wine and Liquor, Sanford, FL for $56.99",https://cityhive-production-cdn.cityhive.net/products/65d02da0a7939f2bf1b8d930/large.png,https://legacywineandliquor.com/shop/product/penelope-architect-straight-bourbon-whiskey/621e6dbfc6f9480bde6cac09?option-id=013cf6a3c0d817753894f8d3c571c70ab118b49ac227bf2bb626738305801058,,,US,Penelope Architect Bourbon Whiskey - Premium Straight Blend,,Meta: Discover Penelope Architect Bourbon at Legacy Wine & Liquor. Buy now for $56.99!
Benchmark Old No 8 Bourbon,591311265b7cef6c8d1ad896,19.99 USD,new,out of stock,Online,US,en,,0,,"Named after the McAfee brothers who surveyed a site just north of Frankfort in the late 1700s, this rye recipe bourbon is yet another label that honors the storied history of the Distillery and the land it sits on. The nose bears caramel notes with a delicate stone-fruit backdrop. A robust and sturdy palate with some fine leather notes mingling with dry tobacco, a touch of oak and a hint of dried cherries. The finish is smooth and calming.",https://cityhive-production-cdn.cityhive.net/products/674f1fc537f7ed290f6161b6/large.png?format=square,https://legacywineandliquor.com/shop/product/benchmark-old-no-8-bourbon/591311265b7cef6c8d1ad896?option-id=c6611dcdc14ef8d17ac244b36bf986eb134cbcb9ff54391b0f04f7b8dcf7b892,4.3,21.0,US,Benchmark Old No 8 Bourbon - Rich Rye Whiskey,"Discover Benchmark Old No 8 Bourbon at [Your Brand]. Enjoy a smooth, rich rye whiskey experience. Shop now for a taste of history!",Benchmark Old No 8 Bourbon Bottle with Rich Rye Whiskey
99 Whipped Cream Liqueur,58654171bfb24106844d2ca3,14.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5d0a0df045713e3fa055c85a/large.png?format=square,0,99 Brand,"99 Brand Whipped Cream Flavored Schnapps Liqueur is a whipped cream taste sensation. It combines bold flavors with high proof, giving consumers a great tasting intense shot. … Its cool cream taste combines with the sweet heat of 99, perfect for mixing with mixers, soda, or juice.",https://cityhive-production-cdn.cityhive.net/products/5d0a0df045713e3fa055c85a/large.png,https://legacywineandliquor.com/shop/product/99-whipped-cream-liqueur/58654171bfb24106844d2ca3?option-id=c1aa040e87e8e1d8dcbb4ef4ca070c943dd4906ebb057e0326f58b94b01eba0d,,,US,"Whipped Cream Schnapps Liqueur - 99 Brand, Bold & Flavorful",,"Meta: Discover 99 Brand's Whipped Cream Schnapps Liqueur. Bold flavors, high proof. Perfect for mixing. Shop now for an intense taste sensation!"
The Club Manhattan,5ff30e2576c74f356c2c081f,1.99 USD,new,in stock,Online,US,en,"https://cityhive-prod-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192",0,The Club Cocktails,"The consistent quality of a bartender-made cocktail with all the flavor and kick you would expect – ready to go whenever you are! The Club Manhattan is the classic cocktail of whiskey, sweet vermouth, and bitters conveniently canned and ready to enjoy wherever the occasion takes you.",https://cityhive-production-cdn.cityhive.net/products/626ea2187dceb6459bd59ab0/large.png,https://legacywineandliquor.com/shop/product/the-club-manhattan/5ff30e2576c74f356c2c081f?option-id=97e6a52a75a082ef26436bf35c45d52f66719217a25f623cc2e035a93744a3f6,,,US,Premium Club Manhattan Cocktail - Ready-to-Drink Classic,,"Meta: Discover The Club Manhattan by [Brand Name]. Enjoy a classic cocktail in a can. Perfectly blended whiskey, vermouth & bitters. Order now!"
Hiatus Anejo Tequila Jalisco Mexico,5c197cf87e257761b90979eb,57.99 USD,new,out of stock,Online,US,en,https://cityhive-production-cdn.cityhive.net/products/5c50f179820b9c46d3a6e35f/large.png?format=square,0,,"Get Hiatus Anejo Tequila Jalisco Mexico from Legacy Wine and Liquor, Sanford, FL for $57.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/hiatus-anejo-tequila-jalisco-mexico/5c197cf87e257761b90979eb?option-id=e4e5943fc9f9a85ce5861f1cd9bfda44fe50d49f2543f79af551914ab75ca8f9,5.0,1.0,US,Premium Hiatus Añejo Tequila - Jalisco's Finest Spirit,,Meta: Discover Hiatus Añejo Tequila at Legacy Wine & Liquor. Buy now for $57.99 and savor Jalisco's best.
Coca Cola Cherry,5858558139e21c3fb6d1227a,1.99 USD,new,in stock,Online,US,en,,1,,"Soda. Pop. Soft drink. Sparkling beverage.

Whatever you call it, nothing compares to the refreshing, crisp taste of Coca-Cola Cherry. A little flavor can make a lot of magic happen and Coca-Cola Cherry is here to make your taste buds happy. Enjoy with friends, on the go or with a meal. Whatever the occasion, Coca-Cola Cherry makes life’s special moments a little bit better.

A delicious combination of flavors, Coca-Cola Cherry blends a familiar taste of Coca-Cola Original Taste with something unexpected, creating more ways for you to enjoy Coca-Cola. Between that perfect taste and refreshing fizz, it’s sure to give you that “ahhh” moment whenever you want it.

Coca-Cola is available in many different options, including Coca-Cola Original Taste and a variety of all-time favorite flavors like Coca-Cola Vanilla and Coca-Cola Cherry Vanilla. Looking for something with zero sugar or caffeine free? Then look no further than Coca-Cola Zero Sugar and Coca-Cola Caffeine Free. Whatever you’re looking for, there’s a Coca-Cola to satisfy your taste buds.

Every sip, every “ahhh,” every smile—find that feeling with Coca-Cola Cherry. Best enjoyed ice-cold for maximum refreshment. Grab a Coca-Cola Cherry and find your “ahhh” moment.

Enjoy Coca-Cola Cherry.",https://cityhive-production-cdn.cityhive.net/products/6569136b417f942bb56f2c35/large.png?format=square,https://legacywineandliquor.com/shop/product/coca-cola-cherry/5858558139e21c3fb6d1227a?option-id=71a600bbb0afb4771e9c849e1b7afc1180a383962d2e02a6b236d9350d4b6dd6,,,US,Coca-Cola Cherry Soda - Refreshing Sparkling Beverage,,"Meta: Discover the crisp, refreshing taste of Coca-Cola Cherry. Enjoy the perfect blend of classic and cherry flavors. Grab yours now and savor the moment!"
Red Bull Pink Sugar Free,677fdaa987ce6c2b785546c6,3.39 USD,new,in stock,Online,US,en,,0,Red Bull,"Get Red Bull Pink Sugar Free from Legacy Wine and Liquor, Sanford, FL for $3.39",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/red-bull-pink-sugar-free/677fdaa987ce6c2b785546c6?option-id=f14d9f6de4c63fb392dbe6c25187353e27b6f5e0e12cf620c411d8878ee9f903,,,US,Sugar-Free Red Bull Pink Energy Drink - Refreshing Boost,,"Meta: Discover Sugar-Free Red Bull Pink at Legacy Wine and Liquor, Sanford, FL. Buy now for just $3.39 and energize your day!"
Filthy Olive Brine Pouch,5faae6fef778f53c3f9c9cdc,4.99 USD,new,in stock,Online,US,en,"https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://cityhive-production-cdn.cityhive.net/products/60464b3ef0dcf20205b1f935/large.png?format=square",0,,"The Filthy Olive Brine Pouch is your trusty sidekick for mixing up a dirty martini with no mess and all the swagger. Packed with bold, tangy olive brine, it’s the quickest draw in the West for adding that salty punch to your cocktails—no jar wrasslin' required.",https://cityhive-production-cdn.cityhive.net/products/60464b3ef0dcf20205b1f935/large.png,https://legacywineandliquor.com/shop/product/filthy-olive-brine-pouch/5faae6fef778f53c3f9c9cdc?option-id=cd8e531a8f8263c440679e3e1a8c65571a3165f05f3f15a557ca78c5ac1fd04b,,,US,Premium Olive Brine Pouch for Cocktails,,"Meta: Elevate your cocktails with Filthy's Olive Brine Pouch. Perfect for a quick, mess-free dirty martini. Shop now for bold flavor!"
Justin Vineyards Proprietary Red Savant Paso Robles,5a26ab6a0abe0a366fe7d996,65.99 USD,new,in stock,Online,US,en,,0,,"65% Syrah, 35% Cabernet Sauvignon Rich, with full ripe black fruit, spice and smoky meaty elements, it’s a wine that lovers of bold wines will love, while still being classy enough to display exquisite table manners, pairing well with a wide variety of food.",https://cityhive-production-cdn.cityhive.net/products/66f2eefd4578280646865205/large.png?format=square,https://legacywineandliquor.com/shop/product/justin-vineyards-proprietary-red-savant-paso-robles/5a26ab6a0abe0a366fe7d996?option-id=96e4bb0866b95dc7e9bf0d30313aaaf26f0a66c30d2c29db165b0cfc78d4a410,,,US,Justin Vineyards Red Savant Wine - Bold Paso Robles Blend,Discover Justin Vineyards Red Savant - a bold Paso Robles blend. Shop now for rich flavors and perfect food pairing. Elevate your wine experience!,Justin Vineyards Red Savant Paso Robles Wine Bottle
Flor Azul Repo Tequila,5e7be8711fd02541f592b00e,19.99 USD,new,out of stock,Online,US,en,,0,Flor De Cana,"Get Flor Azul Repo Tequila from Legacy Wine and Liquor, Sanford, FL for $19.99",https://cityhive-production-cdn.cityhive.net/products/654a4f544d8ee72bb661e3bd/large.png?format=square,https://legacywineandliquor.com/shop/product/flor-azul-repo-tequila/5e7be8711fd02541f592b00e?option-id=16861fc6ef837470996a2204b41cc0145dd54e660ae98b1e296488659a914519,,,US,Flor Azul Reposado Tequila - Buy Online at Legacy Wine & Liquor,,Meta: Discover Flor Azul Reposado Tequila at Legacy Wine & Liquor. Order now for just $19.99 and enjoy premium taste delivered to your door!
Crown Royal 23 Year Golden Apple Canadian Whisky,645294336e4ab2320bd7eb8e,249.99 USD,new,in stock,Online,US,en,,6,Crown Royal,"Crown Royal Golden Apple Whisky 23 Year Old is an extra rare blend pairing patiently aged 23 year old whiskies with the taste Golden Delicious Apples.

The first exquisite blend of Crown Royal Canadian whisky was meticulously crafted from 50 select whiskies, dressed in the finest cut glass and wrapped in purple robes, to commemorate the first grand tour of Canada by King George VI and Queen Elizabeth in 1939. And in truly noble fashion, this bottle of Crown Royal was placed on the Royal train as a symbol of the hardworking and genuine nature of the Canadian people.

Today, the legacy of Crown Royal remains how it began: the epitome of Canadian whisky, with a smooth taste and a regal style all of its own.",https://cityhive-production-cdn.cityhive.net/products/65259dbc53b8a72b58e6493f/large.png?format=square,https://legacywineandliquor.com/shop/product/crown-royal-23-year-golden-apple-canadian-whisky/645294336e4ab2320bd7eb8e?option-id=4cf5ba6a028de02c6adb3cb506fc2fe316ed1ccac55d83b90574bb844fef15b1,,,US,Crown Royal 23 Year Golden Apple Canadian Whisky Blend,,Meta: Discover Crown Royal's 23 Year Golden Apple Whisky. Experience luxury with our rare blend. Shop now for a taste of Canadian elegance.
Raz Ltx Bangin Sour Berries,674b6e323fa9676cb43ebbd4,19.99 USD,new,out of stock,Online,US,en,,0,Geek Bar,"Get Raz Ltx Bangin Sour Berries from Legacy Wine and Liquor, Sanford, FL for $19.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/raz-25k-bangin-sour-berries/674b6e323fa9676cb43ebbd4?option-id=1583878039d2e07cf0338db875d8f6073f116e50acb260186c8c832e25421d33,,,US,Raz Ltx Sour Berries - Bold Flavor Candy Treat,"Discover Raz Ltx Sour Berries at Legacy Wine & Liquor, Sanford, FL. Buy now for $19.99 and indulge in bold, tangy flavors!",Raz Ltx Sour Berries candy package
Black & Mild Jazz Wood Tip Single,58a7467301ff95307e9d5e14,1.08 USD,new,in stock,Online,US,en,,25,,"Get Black & Mild Jazz Wood Tip Single from Legacy Wine and Liquor, Sanford, FL for $1.08",https://cityhive-production-cdn.cityhive.net/products/5e3992a6037353262341b090/large.png?format=square,https://legacywineandliquor.com/shop/product/black-mild-jazz-wood-tip-single/58a7467301ff95307e9d5e14?option-id=c46fc918572adabefc774e9ccdad1e1387e32860711cf702040fbed293c646ca,,,US,Black & Mild Jazz Wood Tip Cigar - Single Pack,,Meta: Discover Black & Mild Jazz Wood Tip Single at Legacy Wine & Liquor. Buy now for just $1.08 and elevate your smoking experience.
Pizza Antia Chianti,61f07bb716224925afc32e9b,14.99 USD,new,in stock,Online,US,en,,0,,"Get Pizza Antia Chianti from Legacy Wine and Liquor, Sanford, FL for $14.99",https://cityhive-production-cdn.cityhive.net/web_assets/6850f1985e241c28ff3f4ea1.png?1750135192,https://legacywineandliquor.com/shop/product/pizza-antia-chianti/61f07bb716224925afc32e9b?option-id=bbba77ba549a1d2e5b6953fcaec52336e1988ae566710af904d0dc5deccd9bec,,,US,Antia Chianti Red Wine - Authentic Italian Flavor,,"Meta: Discover Antia Chianti at Legacy Wine & Liquor, Sanford, FL. Buy now for $14.99 and savor authentic Italian taste!"
